uploads,subs,views,country,country_archive_date,country_url,category,cat_archive_date,cat_url,created_at,grade,sb_rank,subs_rank,vid_view_rank,country_rank,category_rank
10405.0,27100000.0,16004153621.0,IN,20210318120936,https://socialblade.com/youtube/top/country/in,Entertainment,20210318120936,https://socialblade.com/youtube/top/category/entertainment,"Feb 27th, 2007",B,"99,237th",114th,73rd,26th,33rd
1153.0,26300000.0,3017802761.0,ID,20210124053832,https://socialblade.com/youtube/top/country/id,Entertainment,20210124053832,https://socialblade.com/youtube/top/category/entertainment,"Jan 26th, 2014",A-,"2,118th",117th,"1,086th",1st,35th
4737.0,26500000.0,9135953928.0,US,20210526124443,https://socialblade.com/youtube/top/country/us,Entertainment,20210526124443,https://socialblade.com/youtube/top/category/entertainment,"Nov 21st, 2006",A-,"2,193rd",129th,261st,44th,38th
2607.0,25800000.0,15106326633.0,US,20210114111215,https://socialblade.com/youtube/top/country/us,Entertainment,20210114111215,https://socialblade.com/youtube/top/category/entertainment,"May 13th, 2014",A-,"1,293rd",119th,75th,42nd,36th
,,,,,,,,,,,,,,,
2619.0,26200000.0,11271404162.0,US,20210318120331,https://socialblade.com/youtube/top/country/us,Entertainment,20210318120331,https://socialblade.com/youtube/top/category/entertainment,"Jan 20th, 2013",A+,34th,124th,159th,44th,37th
539.0,24300000.0,12687078733.0,BR,20210117183247,https://socialblade.com/youtube/top/country/br,Entertainment,20210117183247,https://socialblade.com/youtube/top/category/entertainment,"Sep 6th, 2015",A,60th,141st,112th,9th,40th
1922.0,25300000.0,9434371068.0,,20210316084132,https://socialblade.com/youtube/top/country/,Entertainment,20210316084132,https://socialblade.com/youtube/top/category/entertainment,"Nov 23rd, 2016",A+,44th,136th,207th,--,40th
1398.0,25900000.0,3873569578.0,ID,20210707090930,http://socialblade.com/youtube/top/country/id,Entertainment,20210707090930,http://socialblade.com/youtube/top/category/entertainment,"Jan 15th, 2016",A-,"2,039th",136th,990th,2nd,41st
72.0,83.0,16119.0,,20210114174452,https://socialblade.com/youtube/top/country/,Tech,20210114174452,https://socialblade.com/youtube/top/category/tech,"Sep 2nd, 2009",D+,"25,701,437th","20,594,182nd","17,068,245th",--,"325,895th"
2152.0,21900000.0,5630925815.0,KR,20200921002110,https://socialblade.com/youtube/top/country/kr,Entertainment,20200921002110,https://socialblade.com/youtube/top/category/entertainment,"Feb 6th, 2015",A-,"1,014th",152nd,370th,4th,46th
627.0,21600000.0,5467937354.0,US,20200801115451,https://socialblade.com/youtube/top/country/us,Entertainment,20200801115451,https://socialblade.com/youtube/top/category/entertainment,"Jan 19th, 2011",A,782nd,150th,365th,57th,41st
,,,,,,,,,,,,,,,
244.0,21700000.0,5016733919.0,US,20200801134554,https://socialblade.com/youtube/top/country/us,Entertainment,20200801134554,https://socialblade.com/youtube/top/category/entertainment,"Aug 9th, 2011",A-,"1,079th",146th,430th,56th,39th
,,,,,,,,,,,,,,,
178.0,20200000.0,6873869340.0,ES,20200801141054,https://socialblade.com/youtube/top/country/es,Entertainment,20200801141054,https://socialblade.com/youtube/top/category/entertainment,"Oct 18th, 2015",A-,"1,430th",166th,255th,4th,50th
,,,,,,,,,,,,,,,
13740.0,21600000.0,18573515816.0,KR,20210114081811,https://socialblade.com/youtube/top/country/kr,Entertainment,20210114081811,https://socialblade.com/youtube/top/category/entertainment,"Jan 31st, 2011",A,220th,172nd,44th,5th,50th
2653.0,20100000.0,4116154307.0,BR,20201028123233,https://socialblade.com/youtube/top/country/br,Entertainment,20201028123233,https://socialblade.com/youtube/top/category/entertainment,"Sep 29th, 2011",A,470th,187th,655th,13th,53rd
4015.0,21900000.0,12144916912.0,IN,20210316084129,https://socialblade.com/youtube/top/country/in,Entertainment,20210316084129,https://socialblade.com/youtube/top/category/entertainment,"Jun 27th, 2015",A+,49th,180th,136th,36th,51st
407.0,21400000.0,4337891461.0,US,20210613042939,https://socialblade.com/youtube/top/country/us,Entertainment,20210613042939,https://socialblade.com/youtube/top/category/entertainment,"Jul 21st, 2006",B+,"48,061st",200th,804th,75th,55th
1040.0,21300000.0,14622583675.0,US,20210226071626,https://socialblade.com/youtube/top/country/us,Entertainment,20210226071626,https://socialblade.com/youtube/top/category/entertainment,"Dec 14th, 2015",A+,22nd,188th,92nd,72nd,54th
13168.0,19400000.0,11795400463.0,IN,20210120043926,https://socialblade.com/youtube/top/country/in,Entertainment,20210120043926,https://socialblade.com/youtube/top/category/entertainment,"May 9th, 2014",A+,26th,221st,141st,43rd,60th
945.0,20900000.0,12258213461.0,GB,20210414204617,https://socialblade.com/youtube/top/country/gb,Entertainment,20210414204617,https://socialblade.com/youtube/top/category/entertainment,"Sep 22nd, 2014",A,322nd,202nd,149th,10th,57th
,,,,,,,,,,,,,,,
3106.0,20400000.0,17682200867.0,US,20210318120440,https://socialblade.com/youtube/top/country/us,Entertainment,20210318120440,https://socialblade.com/youtube/top/category/entertainment,"Jan 16th, 2006",A,64th,206th,53rd,77th,57th
857.0,19600000.0,10898484146.0,GB,20210123171616,https://socialblade.com/youtube/top/country/gb,Entertainment,20210123171616,https://socialblade.com/youtube/top/category/entertainment,"Nov 17th, 2014",A,259th,216th,152nd,10th,59th
221.0,19000000.0,6526287625.0,UA,20210111053006,https://socialblade.com/youtube/top/country/ua,Entertainment,20210111053006,https://socialblade.com/youtube/top/category/entertainment,"Mar 13th, 2018",A,103rd,226th,340th,1st,63rd
1581.0,17400000.0,3062890022.0,ID,20200921061454,https://socialblade.com/youtube/top/country/id,Entertainment,20200921061454,https://socialblade.com/youtube/top/category/entertainment,"Dec 27th, 2015",A,717th,243rd,945th,4th,66th
984.0,18100000.0,10948603643.0,SA,20200921070854,https://socialblade.com/youtube/top/country/sa,Entertainment,20200921070854,https://socialblade.com/youtube/top/category/entertainment,"Dec 11th, 2010",A,98th,220th,122nd,1st,61st
282.0,19400000.0,1467892803.0,US,20210304101420,https://socialblade.com/youtube/top/country/us,Entertainment,20210304101420,https://socialblade.com/youtube/top/category/entertainment,"Aug 7th, 2013",A-,"1,233rd",227th,"3,081st",90th,61st
5026.0,20900000.0,4491454152.0,US,20210813011803,https://socialblade.com/youtube/top/country/us,Entertainment,20210813011803,https://socialblade.com/youtube/top/category/entertainment,"Jul 17th, 2012",A,854th,223rd,817th,84th,63rd
2402.0,19100000.0,3822834470.0,US,20210316084223,https://socialblade.com/youtube/top/country/us,Entertainment,20210316084223,https://socialblade.com/youtube/top/category/entertainment,"Jun 29th, 2006",A-,"2,118th",238th,812th,96th,66th
36369.0,19300000.0,12582800930.0,PK,20210318120428,https://socialblade.com/youtube/top/country/pk,Entertainment,20210318120428,https://socialblade.com/youtube/top/category/entertainment,"Jul 11th, 2016",A,77th,237th,126th,1st,65th
,,,,,,,,,,,,,,,
313.0,19100000.0,8426479892.0,US,20210318120332,https://socialblade.com/youtube/top/country/us,Entertainment,20210318120332,https://socialblade.com/youtube/top/category/entertainment,"Jan 30th, 2019",A,100th,239th,239th,97th,67th
63036.0,19100000.0,8991915380.0,ID,20210414204735,https://socialblade.com/youtube/top/country/id,Entertainment,20210414204735,https://socialblade.com/youtube/top/category/entertainment,"Sep 4th, 2014",A,208th,253rd,261st,5th,70th
,,,,,,,,,,,,,,,
1436.0,12226770.0,2367758665.0,US,20190524063653,https://socialblade.com/youtube/top/country/us,Games,20190524063653,https://socialblade.com/youtube/top/category/games,"Jul 12th, 2012",,,,,,
973.0,16100000.0,2321731333.0,ID,20200928180720,https://socialblade.com/youtube/top/country/id,Entertainment,20200928180720,https://socialblade.com/youtube/top/category/entertainment,"Jun 4th, 2016",A,873rd,290th,"1,450th",7th,87th
169.0,17800000.0,2458072071.0,US,20201203204129,https://socialblade.com/youtube/top/country/us,Entertainment,20201203204129,https://socialblade.com/youtube/top/category/entertainment,"Sep 2nd, 2013",B+,"13,867th",244th,"1,361st",98th,70th
3991.0,14543651.0,7768590823.0,US,20190524085032,https://socialblade.com/youtube/top/country/us,Entertainment,20190524085032,https://socialblade.com/youtube/top/category/entertainment,"Sep 20th, 2006",,,,,,
7483.0,17200000.0,16605920814.0,AR,20210115093004,https://socialblade.com/youtube/top/country/ar,Entertainment,20210115093004,https://socialblade.com/youtube/top/category/entertainment,"Dec 12th, 2007",A,314th,282nd,56th,5th,78th
341.0,18700000.0,6026820234.0,US,20210414192146,https://socialblade.com/youtube/top/country/us,Entertainment,20210414192146,https://socialblade.com/youtube/top/category/entertainment,"Nov 27th, 2016",A,216th,270th,495th,107th,73rd
550.0,17600000.0,2226870541.0,AE,20210316085906,https://socialblade.com/youtube/top/country/ae,Entertainment,20210316085906,https://socialblade.com/youtube/top/category/entertainment,"Apr 24th, 2014",B+,"9,212th",282nd,"1,689th",3rd,77th
841.0,17700000.0,2914541863.0,ID,20210811193630,https://socialblade.com/youtube/top/country/id,Entertainment,20210811193630,https://socialblade.com/youtube/top/category/entertainment,"Mar 4th, 2015",A,676th,315th,"1,522nd",9th,88th
25172.0,18400000.0,12874423938.0,KR,20210812053403,https://socialblade.com/youtube/top/country/kr,Entertainment,20210812053403,https://socialblade.com/youtube/top/category/entertainment,"Mar 9th, 2006",A,257th,294th,154th,7th,78th
1162.0,15600000.0,2764732565.0,US,20200801104926,https://socialblade.com/youtube/top/country/us,Entertainment,20200801104926,https://socialblade.com/youtube/top/category/entertainment,"Aug 21st, 2014",A-,"1,142nd",282nd,"1,029th",115th,82nd
908.0,15000000.0,2613531657.0,GB,20200801104846,https://socialblade.com/youtube/top/country/gb,Entertainment,20200801104846,https://socialblade.com/youtube/top/category/entertainment,"Apr 29th, 2006",A-,"1,702nd",309th,"1,118th",20th,89th
2495.0,16500000.0,6555872720.0,US,20200801131637,https://socialblade.com/youtube/top/country/us,Entertainment,20200801131637,https://socialblade.com/youtube/top/category/entertainment,"Sep 17th, 2008",A-,"1,478th",254th,281st,103rd,69th
326.0,16300000.0,7114568489.0,GB,20200801141039,https://socialblade.com/youtube/top/country/gb,Entertainment,20200801141039,https://socialblade.com/youtube/top/category/entertainment,"Oct 6th, 2012",A,424th,263rd,241st,15th,73rd
372.0,16000000.0,6722560948.0,US,20201129020418,https://socialblade.com/youtube/top/country/us,Entertainment,20201129020418,https://socialblade.com/youtube/top/category/entertainment,"Mar 25th, 2013",A,353rd,319th,310th,123rd,96th
752.0,17100000.0,16886502284.0,AU,20210318120945,https://socialblade.com/youtube/top/country/au,Entertainment,20210318120945,https://socialblade.com/youtube/top/category/entertainment,"Mar 28th, 2015",A,246th,303rd,62nd,4th,84th
321.0,16900000.0,3612605053.0,US,20200801125858,https://socialblade.com/youtube/top/country/us,Entertainment,20200801125858,https://socialblade.com/youtube/top/category/entertainment,"Mar 19th, 2013",B+,"10,417th",246th,698th,100th,65th
9162.0,11287401.0,3073060751.0,US,20190524071416,https://socialblade.com/youtube/top/country/us,Entertainment,20190524071416,https://socialblade.com/youtube/top/category/entertainment,"May 7th, 2006",,,,,,
,,,,,,,,,,,,,,,
197.0,16300000.0,414862821.0,US,20200801124138,https://socialblade.com/youtube/top/country/us,Entertainment,20200801124138,https://socialblade.com/youtube/top/category/entertainment,"Jan 30th, 2008",B,"176,702nd",264th,"10,684th",105th,72nd
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1683.0,14500000.0,5395414481.0,GB,20200801125814,https://socialblade.com/youtube/top/country/gb,Entertainment,20200801125814,https://socialblade.com/youtube/top/category/entertainment,"Jan 31st, 2013",A,398th,343rd,380th,22nd,101st
1536.0,15700000.0,7331145117.0,US,20200801182729,https://socialblade.com/youtube/top/country/us,Entertainment,20200801182729,https://socialblade.com/youtube/top/category/entertainment,"Jul 18th, 2006",A,677th,280th,227th,114th,79th
2944.0,16300000.0,9192293871.0,GB,20210123182516,https://socialblade.com/youtube/top/country/gb,Entertainment,20210123182516,https://socialblade.com/youtube/top/category/entertainment,"Apr 12th, 2008",A-,"1,921st",326th,186th,18th,95th
333.0,17000000.0,7081765518.0,US,20210416001103,https://socialblade.com/youtube/top/country/us,Entertainment,20210416001103,https://socialblade.com/youtube/top/category/entertainment,"Feb 1st, 2019",A,215th,317th,375th,129th,90th
3319.0,14800000.0,2100824814.0,BR,20200801134600,https://socialblade.com/youtube/top/country/br,Entertainment,20200801134600,https://socialblade.com/youtube/top/category/entertainment,"Sep 26th, 2013",A-,"4,388th",321st,"1,493rd",21st,92nd
19385.0,15100000.0,8392106134.0,MX,20201123161625,https://socialblade.com/youtube/top/country/mx,Entertainment,20201123161625,https://socialblade.com/youtube/top/category/entertainment,"Apr 3rd, 2013",A,271st,355th,210th,18th,110th
3690.0,14600000.0,4648025509.0,US,20200920230609,https://socialblade.com/youtube/top/country/us,Entertainment,20200920230609,https://socialblade.com/youtube/top/category/entertainment,"Jul 4th, 2012",A,616th,356th,494th,134th,108th
148.0,14400000.0,3354281489.0,US,20200928193330,https://socialblade.com/youtube/top/country/us,Entertainment,20200928193330,https://socialblade.com/youtube/top/category/entertainment,"Jul 21st, 2009",A-,"1,135th",371st,827th,141st,115th
49568.0,15800000.0,8410984033.0,ID,20210124162416,https://socialblade.com/youtube/top/country/id,Entertainment,20210124162416,https://socialblade.com/youtube/top/category/entertainment,"Sep 23rd, 2013",A+,41st,343rd,233rd,9th,101st
1446.0,8080000.0,3346052920.0,GB,20210812052400,https://socialblade.com/youtube/top/country/gb,Autos,20210812052400,https://socialblade.com/youtube/top/category/autos,"Mar 27th, 2006",B+,"6,393rd","1,369th","1,270th",62nd,2nd
318.0,5221004.0,727248972.0,US,20190721124607,https://socialblade.com/youtube/top/country/us,Autos,20190721124607,https://socialblade.com/youtube/top/category/autos,"Jul 30th, 2008",,,,,,
2305.0,6309805.0,1841950316.0,US,20190721133936,https://socialblade.com/youtube/top/country/us,Autos,20190721133936,https://socialblade.com/youtube/top/category/autos,"Mar 11th, 2006",,,,,,
,,,,,,,,,,,,,,,
